"resp_id","country","age_grp","education","net_use_news","trust_parliament","trust_press","trust_science","trust_politicians","trust_index"
1,"Finland","45-54","secondary","Several times a week",1,2,3,NA,2
2,"Germany","65+","secondary","Once a week",NA,8,8,4,6.66666666666667
3,"Finland","25-34","primary","Less than once a month",NA,1,NA,2,1.5
4,"Finland","45-54","primary",NA,NA,5,0,NA,2.5
5,"Finland","35-44","tertiary","Once a week",9,1,0,9,4.75
6,"Sweden","45-54","primary","Several times a month",NA,5,4,NA,4.5
7,"Finland","18-24",NA,NA,9,NA,10,1,6.66666666666667
8,"Finland","45-54","secondary","Every day",3,NA,10,NA,6.5
9,"Finland","35-44","tertiary","Every day",NA,2,9,6,5.66666666666667
10,"","35-44","primary","Every day",7,10,0,3,5
11,"Poland","55-64",NA,"Every day",4,5,NA,1,3.33333333333333
12,"","35-44","primary","Several times a month",5,5,7,NA,5.66666666666667
13,"Poland","25-34","secondary","Once a week",5,NA,NA,NA,5
14,"Sweden","55-64","secondary","Every day",8,7,9,0,6
15,"Finland","25-34","tertiary",NA,5,NA,NA,8,6.5
16,"Germany","35-44","secondary","Every day",6,6,4,1,4.25
17,"Estonia","55-64","secondary","Once a week",3,3,7,10,5.75
18,"Sweden","55-64","secondary","Once a month",9,2,5,0,4
19,"Finland","25-34","primary","Never",4,2,4,0,2.5
20,"Finland","65+","tertiary","Every day",0,6,NA,10,5.33333333333333
21,"Poland","55-64","tertiary","Several times a week",9,NA,10,NA,9.5
22,"Finland","65+","secondary","Every day",2,10,4,1,4.25
23,"Finland","35-44","primary","Every day",9,4,NA,NA,6.5
24,"Finland","55-64","secondary",NA,NA,1,NA,NA,1
25,"Finland","35-44","tertiary","Once a week",1,4,8,0,3.25
26,"Sweden","25-34","tertiary","Every day",8,7,1,2,4.5
27,"Germany","35-44","tertiary","Several times a week",3,1,NA,5,3
28,"Poland","25-34",NA,"Once a week",10,3,3,1,4.25
29,"Germany","45-54",NA,NA,NA,6,NA,4,5
30,"Germany","55-64","tertiary","Every day",4,10,10,4,7
31,"Sweden","55-64","tertiary","Every day",7,NA,2,7,5.33333333333333
32,"Finland","35-44","tertiary","Every day",1,NA,3,9,4.33333333333333
33,"Sweden","25-34","primary","Every day",NA,9,10,9,9.33333333333333
34,"","35-44","tertiary","Every day",NA,3,NA,3,3
35,"Finland","65+","secondary","Every day",5,4,5,1,3.75
36,"Finland","25-34",NA,"Several times a week",NA,9,4,3,5.33333333333333
37,"Finland","18-24","tertiary","Every day",NA,5,NA,1,3
38,"Finland","55-64","secondary","Several times a week",9,6,NA,8,7.66666666666667
39,"","65+",NA,"Every day",NA,10,10,1,7
40,"Estonia","65+","primary",NA,2,NA,3,6,3.66666666666667
41,"Finland","25-34",NA,"Every day",7,NA,NA,2,4.5
42,"Poland","25-34","secondary","Several times a week",10,4,0,7,5.25
43,"Estonia","18-24","secondary","Once a month",6,5,NA,6,5.66666666666667
44,"Finland","45-54","tertiary",NA,2,4,4,7,4.25
45,"","45-54","tertiary","Once a month",5,8,9,4,6.5
46,"Sweden","45-54",NA,"Never",7,NA,0,1,2.66666666666667
47,"Sweden","55-64","secondary","Every day",NA,7,9,NA,8
48,"Estonia","25-34","tertiary","Every day",8,9,2,0,4.75
49,"Finland","55-64","secondary","Several times a week",6,7,7,3,5.75
50,"Germany","18-24","secondary","Once a week",9,7,1,NA,5.66666666666667
51,"Sweden","35-44","tertiary","Once a week",2,0,3,3,2
52,"Germany","55-64","secondary","Every day",2,6,4,NA,4
53,"Sweden","65+",NA,"Once a month",2,1,8,NA,3.66666666666667
54,"Finland","25-34","primary","Once a month",6,3,8,7,6
55,"","65+","tertiary","Once a week",0,6,2,7,3.75
56,"Finland","55-64","primary","Every day",3,NA,8,4,5
57,"Finland","65+","secondary","Once a week",1,2,1,NA,1.33333333333333
58,"","35-44","primary","Every day",2,NA,1,10,4.33333333333333
59,"Poland","45-54","secondary","Several times a month",1,5,3,4,3.25
60,"Finland","55-64","secondary","Several times a month",NA,10,7,NA,8.5
61,"Germany","35-44",NA,"Every day",9,10,NA,8,9
62,"Finland","55-64","primary","Several times a week",6,NA,9,5,6.66666666666667
63,"Finland","55-64",NA,"Several times a month",0,3,3,10,4
64,"Estonia","18-24",NA,"Several times a month",2,5,2,7,4
65,"Estonia","55-64","tertiary",NA,10,4,5,6,6.25
66,"Finland","55-64",NA,"Several times a week",3,NA,7,5,5
67,"Sweden","65+","secondary","Every day",3,6,NA,9,6
68,"Finland","65+","tertiary","Every day",NA,3,3,0,2
69,"Estonia","25-34","tertiary",NA,NA,NA,NA,NA,NA
70,"Germany","55-64","primary","Several times a week",4,6,8,9,6.75
