"resp_id","country","age_grp","education","net_use_news","trust_parliament","trust_press","trust_science","trust_politicians"
1,"Finland","45-54","secondary ","Several times a week","1","2","3","98"
2,"Germany","65+","secondary ","Once a week","98","8","8","4"
3,"Finland","25-34","primary","Less than once a month","99","1","99","2"
4,"Finland","45-54","primary","98","","5","0","98"
5,"Finland","35-44","phd","Once a week","9","1","0","9"
6,"Sweden","45-54","primary","Several times a month","99","5","4","98"
7,"Finland","18-24","  ","98","9","98","10","1"
8,"Finland","45-54","Secondary","Every day","3","99","10","99"
9,"Finland","35-44","phd","Every day","99","2","9","6"
10,,"35-44","primary","Every day","7","10","0","3"
11,"Poland","55-64","NA","Every day","4","5","99","1"
12,,"35-44","primary","Several times a month","5","5","7",""
13,"Poland","25-34","secondary ","Once a week","5","","99",""
14,"Sweden","55-64","secondary ","Every day","8","7","9","0"
15,"Finland","25-34","Tertiary","98","5","","","8"
16,"Germany","35-44","Secondary","Every day","6","6","4","1"
17,"Estonia","55-64","Secondary","Once a week","3","3","7","10"
18,"Sweden","55-64","secondary ","Once a month","9","2","5","0"
19,"Finland","25-34","primary","Never","4","2","4","0"
20,"Finland","65+","tertiary","Every day","0","6","","10"
21,"Poland","55-64","Tertiary","Several times a week","9","98","10","99"
22,"Finland","65+","Secondary","Every day","2","10","4","1"
23,"Finland","35-44","primary","Every day","9","4","","98"
24,"Finland","55-64","secondary ","98","99","1","98",""
25,"Finland","35-44","Tertiary","Once a week","1","4","8","0"
26,"Sweden","25-34","phd","Every day","8","7","1","2"
27,"Germany","35-44","Tertiary","Several times a week","3","1","99","5"
28,"Poland","25-34","  ","Once a week","10","3","3","1"
29,"Germany","45-54","NA","98","99","6","99","4"
30,"Germany","55-64","tertiary","Every day","4","10","10","4"
31,"Sweden","55-64","phd","Every day","7","98","2","7"
32,"Finland","35-44","Tertiary","Every day","1","99","3","9"
33,"Sweden","25-34","primary","Every day","98","9","10","9"
34,,"35-44","tertiary","Every day","98","3","98","3"
35,"Finland","65+","secondary ","Every day","5","4","5","1"
36,"Finland","25-34","  ","Several times a week","","9","4","3"
37,"Finland","18-24","phd","Every day","98","5","98","1"
38,"Finland","55-64","secondary ","Several times a week","9","6","98","8"
39,,"65+","  ","Every day","98","10","10","1"
40,"Estonia","65+","primary","99","2","","3","6"
41,"Finland","25-34","NA","Every day","7","99","99","2"
42,"Poland","25-34","secondary ","Several times a week","10","4","0","7"
43,"Estonia","18-24","Secondary","Once a month","6","5","99","6"
44,"Finland","45-54","phd","99","2","4","4","7"
45,,"45-54","phd","Once a month","5","8","9","4"
46,"Sweden","45-54","  ","Never","7","","0","1"
47,"Sweden","55-64","Secondary","Every day","99","7","9","98"
48,"Estonia","25-34","Tertiary","Every day","8","9","2","0"
49,"Finland","55-64","Secondary","Several times a week","6","7","7","3"
50,"Germany","18-24","Secondary","Once a week","9","7","1","98"
51,"Sweden","35-44","tertiary","Once a week","2","0","3","3"
52,"Germany","55-64","secondary ","Every day","2","6","4",""
53,"Sweden","65+","NA","Once a month","2","1","8","98"
54,"Finland","25-34","primary","Once a month","6","3","8","7"
55,,"65+","tertiary","Once a week","0","6","2","7"
56,"Finland","55-64","primary","Every day","3","99","8","4"
57,"Finland","65+","Secondary","Once a week","1","2","1","99"
58,,"35-44","primary","Every day","2","98","1","10"
59,"Poland","45-54","Secondary","Several times a month","1","5","3","4"
60,"Finland","55-64","Secondary","Several times a month","99","10","7","98"
61,"Germany","35-44","NA","Every day","9","10","98","8"
62,"Finland","55-64","primary","Several times a week","6","","9","5"
63,"Finland","55-64","  ","Several times a month","0","3","3","10"
64,"Estonia","18-24","NA","Several times a month","2","5","2","7"
65,"Estonia","55-64","Tertiary","98","10","4","5","6"
66,"Finland","55-64","NA","Several times a week","3","99","7","5"
67,"Sweden","65+","secondary ","Every day","3","6","","9"
68,"Finland","65+","tertiary","Every day","99","3","3","0"
69,"Estonia","25-34","Tertiary","98","99","98","98",""
70,"Germany","55-64","primary","Several times a week","4","6","8","9"
71,"Finland","18-24","primary","Once a week","3","1","1","3"
72,"Poland","25-34","primary","99","5","8","10","3"
73,"Estonia","35-44","primary","Several times a month","","1","6","1"
74,"Finland","45-54","NA","Several times a week","","9","3","7"
75,"Finland","25-34","tertiary","Several times a week","6","","1",""
76,,"35-44","secondary ","Every day","1","10","8","7"
77,"Germany","35-44","Tertiary","Never","7","3","7","10"
78,"Finland","18-24","primary","Every day","","10","7","6"
79,"Finland","65+","tertiary","Several times a week","3","9","4","5"
80,"Poland","45-54","primary","Every day","0","6","0","1"
81,"Sweden","45-54","phd","Every day","","6","98","98"
82,"Germany","35-44","secondary ","Every day","99","3","0","10"
83,"Finland","25-34","Tertiary","Once a week","10","98","9","7"
84,"Finland","45-54","secondary ","Every day","2","99","6","1"
85,"Germany","35-44","Tertiary","Every day","8","4","98","7"
86,"Sweden","55-64","  ","Every day","4","99","5","99"
87,"Sweden","45-54","  ","Every day","6","4","3","10"
88,"Finland","35-44","secondary ","Once a week","99","3","7",""
89,"Finland","18-24","  ","Every day","10","8","","98"
90,"Finland","35-44","phd","Once a week","8","3","6","3"
91,"Germany","55-64","Tertiary","Several times a month","10","","10","2"
92,,"25-34","phd","Several times a week","4","0","","6"
